trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
155,control,15.0,16,1,525.97975730896,525.9766578674316,1490,1
156,control,16.0,16,1,459.8839282989502,459.881067276001,1021,1
157,control,17.0,16,1,524.8949527740479,524.893045425415,1424,1
158,control,18.0,16,1,526.7109870910645,526.7078876495361,1441,1
159,control,19.0,16,1,362.0479106903076,362.0450496673584,1394,1
160,control,20.0,16,1,458.6169719696045,458.6160182952881,1440,1
161,control,21.0,16,1,526.299238204956,526.2970924377441,934,1
162,control,22.0,16,1,466.6738510131836,466.6719436645508,1411,1
163,control,23.0,16,1,522.395133972168,522.3941802978516,1033,1
164,control,24.0,16,1,526.4987945556641,526.496171951294,1036,1
165,control,25.0,16,1,525.8879661560059,525.8848667144775,1233,1
166,control,26.0,16,1,561.5520477294922,561.5501403808594,1022,1
167,control,27.0,16,1,757.18092918396,757.178783416748,1077,1
168,control,28.0,23,1,458.56213569641113,458.5599899291992,1376,1
169,control,5.0,16,1,64.57710266113281,526.6580581665039,1055,1
170,control,6.0,16,1,96.40979766845703,526.6308784484863,807,1
171,control,7.0,16,1,62.61706352233887,527.4322032928467,1169,1
172,control,8.0,16,1,361.5100383758545,361.50407791137695,1285,1
173,control,9.0,16,1,530.8611392974854,530.8582782745361,1168,1
174,control,10.0,16,1,594.4569110870361,594.451904296875,882,1
175,control,11.0,16,1,528.1970500946045,528.188943862915,1284,1
176,control,12.0,16,1,535.6111526489258,535.6061458587646,1006,1
177,control,13.0,16,1,427.95801162719727,427.95586585998535,1442,0
178,control,13.0,16,1,527.0469188690186,527.0438194274902,890,1
179,control,14.0,16,1,525.2699851989746,525.2678394317627,901,1
180,control,15.0,16,1,527.0781517028809,527.0719528198242,1011,1
181,control,16.0,16,1,527.83203125,527.8277397155762,1090,1
182,control,17.0,16,1,526.9041061401367,526.8981456756592,1479,1
183,control,18.0,16,1,367.36512184143066,367.3572540283203,1213,1
184,control,19.0,16,1,460.21294593811035,460.2067470550537,921,1
185,control,20.0,16,1,529.3877124786377,529.3858051300049,1112,1
186,control,21.0,16,1,426.0389804840088,426.03325843811035,967,1
187,control,22.0,16,1,460.47115325927734,460.4659080505371,1339,1
188,control,23.0,16,1,462.14890480041504,462.1469974517822,914,1
189,control,24.0,16,1,527.9312133789062,527.9281139373779,806,1
190,control,25.0,16,1,460.4499340057373,460.4480266571045,819,1
191,control,26.0,16,1,530.7989120483398,530.7960510253906,1297,1
192,control,27.0,16,1,692.0781135559082,692.0759677886963,845,1
193,control,28.0,23,0,759.645938873291,759.6440315246582,1059,1
194,control,5.0,13,1,66.5290355682373,362.36119270324707,985,1
195,control,6.0,13,1,65.6428337097168,361.8028163909912,896,1
196,control,7.0,13,1,165.24887084960938,526.0679721832275,1471,1
197,control,8.0,13,1,99.09915924072266,397.11713790893555,911,1
198,control,9.0,13,1,364.98379707336426,364.98212814331055,1007,1
199,control,10.0,13,1,364.609956741333,364.6068572998047,1020,1
200,control,11.0,13,1,461.58623695373535,461.58409118652344,1395,1
201,control,12.0,13,1,459.6400260925293,459.6378803253174,831,1
